cod_depto,professor
643,JONATHAS FELIPE AIRES FERREIRA
643,TANIA CRISTINA DA SILVA CRUZ
640,LAURA ANGELICA FERREIRA DARNET
640,ALEXANDRE BETINARDI STRAPASSON
640,CRISTIANE GOMES BARRETO
640,MAURO GUILHERME MAIDANA CAPPELLARO
640,ADRILANE BATISTA DE OLIVEIRA
640,MONICA CELEIDA RABELO NOGUEIRA
640,JESSICA PEREIRA GARCIA
640,DIEGO PEREIRA LINDOSO
640,FREDERIC ADELIN GEORGES MERTENS
640,DIEGO PEREIRA LINDOSO
640,MAURO GUILHERME MAIDANA CAPPELLARO
640,STEPHANIE CAROLINE NASUTI
640,DIEGO PEREIRA LINDOSO
640,ALEXANDRE BETINARDI STRAPASSON
640,IZABEL CRISTINA BRUNO BACELLAR ZANETI
640,MAURICIO DE CARVALHO AMAZONAS
640,LAURA ANGELICA FERREIRA DARNET
640,FABIANO TONI
640,GUSTAVO MACEDO DE MELLO BAPTISTA
314,MARUTSCHKA MARTINI MOESCH
314,FAGNO TAVARES DE OLIVEIRA
314,JOAO PAULO FARIA TASSO
314,FAGNO TAVARES DE OLIVEIRA
314,MARUTSCHKA MARTINI MOESCH
314,ALESSANDRA SANTOS DOS SANTOS
314,CAROLINA MENEZES PALHARES
314,MARUTSCHKA MARTINI MOESCH
314,MARUTSCHKA MARTINI MOESCH
314,JOAO PAULO FARIA TASSO
314,DONARIA COELHO DUARTE
314,CAROLINA MENEZES PALHARES
314,NEUZA DE FARIAS ARAUJO
314,NEUZA DE FARIAS ARAUJO
314,THIAGO SEBASTIANO DE MELO
314,JOAO PAULO FARIA TASSO
314,FAGNO TAVARES DE OLIVEIRA
314,ANGELA TEBERGA DE PAULA
314,NEUZA DE FARIAS ARAUJO
314,ANGELA TEBERGA DE PAULA
314,ANA ROSA DOMINGUES DOS SANTOS
314,LUIZ CARLOS SPILLER PENA
314,THIAGO SEBASTIANO DE MELO
314,MARUTSCHKA MARTINI MOESCH
314,THIAGO SEBASTIANO DE MELO
314,ANGELA TEBERGA DE PAULA
314,ANA ROSA DOMINGUES DOS SANTOS
314,ANA ROSA DOMINGUES DOS SANTOS
314,THIAGO SEBASTIANO DE MELO
314,MARUTSCHKA MARTINI MOESCH
314,ANA ROSA DOMINGUES DOS SANTOS
650,ANTONIO LUIS COSTA VARGAS
650,JOÃO LUIZ HOMEM DE CARVALHO
650,MURILO SILVA DE CAMARGO
650,MURILO SILVA DE CAMARGO
650,VIVIANE DE MELO RESENDE
650,VIVIANE CRISTINA VIEIRA
650,ALBERTO LUÍS ARAÚJO SILVA FILHO
650,LUCAS BRITO DE LIMA
650,SILVIA BADIM MARQUES
650,ENAILE DO ESPIRITO SANTO IADANZA
650,HILTON PEREIRA DA SILVA
650,MANOEL PEREIRA DE ANDRADE
650,JITONE LEONIDAS SOARES
650,JONATAS DE FRANCA BARROS
650,ANDRE RIBEIRO DA SILVA
650,RENATA MELO BARBOSA DO NASCIMENTO
650,RENISIA CRISTINA GARCIA FILICE
650,HILTON PEREIRA DA SILVA
650,MANOEL PEREIRA DE ANDRADE
650,ENAILE DO ESPIRITO SANTO IADANZA
650,ANDRE RIBEIRO DA SILVA
650,JACKELINE NERES BELLUCCI
650,ISAIAS NERY FERREIRA
650,RAUL LUÍS DE MELO DUSI
650,TAYANE MEDEIROS DE OLIVEIRA
650,ANDREA DE OLIVEIRA GONCALVES
650,ALESSANDRA LISBOA DA SILVA
650,SILVIA EMANOELLA SILVA MARTINS DE SOUZA
650,JONATAS DE FRANCA BARROS
650,JITONE LEONIDAS SOARES
650,ANDRE RIBEIRO DA SILVA
650,FERNANDO PAIVA SCARDUA
650,RAPHAEL LANA SEABRA
650,JALES DANTAS DA COSTA
650,AILTA BARROS DE SOUZA
650,MARCIA GUEDES VIEIRA
650,KEILA CRISTIANNE TRINDADE DA CRUZ
650,ANDREA MATHES FAUSTINO
650,CLOVIS NEUMANN
650,ANDRE LUIZ MARQUES SERRANO
650,MANOEL PEREIRA DE ANDRADE
650,JOÃO LUIZ HOMEM DE CARVALHO
650,LUCAS BRITO DE LIMA
650,RENATA MELO BARBOSA DO NASCIMENTO
650,MARIA CARMEN AIRES GOMES
650,LUIS ANTONIO PASQUETTI
650,ISABEL SANTOS DO NASCIMENTO FORMIGA
650,GINA VIEIRA PONTE DE ALBUQUERQUE
650,LUANA NERY MORAES
650,ADRIANO SOUZA SENKEVICS
650,TATIANE DOS SANTOS DUARTE
650,ANTONIO RAIMUNDO LIMA CRUZ TEIXEIRA
650,GUILLERMO JOSE ASPER Y VALDES
650,FRANCISCO JAVIER CONTRERAS PINEDA
650,MARIA HENRIQUETA CAMAROTTI COSTA
650,ROMULO GUILHERME FERREIRA DA SILVA
650,PAULO RAMOS COELHO FILHO
650,RAFAELA ROCHA FEIJÓ
1448,MONIQUE TERESINHA PYRRHO DE SOUZA SILVA
170,MARTINO GARONZI
170,RENATO PINTO DA CUNHA
170,GREGORIO LUIS SILVA ARAUJO
170,MARCUS VINICIUS DA SILVA LUNGUINHO
