turma,periodo,professor,horario,vagas_ocupadas,total_vagas,local,cod_disciplina,cod_depto
1,2023.1,JONATHAS FELIPE AIRES FERREIRA,6T2345 (28/03/2023 - 25/07/2023),22,50.0,CDT - Sala Interação,CDT1101,643
1,2023.1,TANIA CRISTINA DA SILVA CRUZ,6T2345 (28/03/2023 - 25/07/2023),22,50.0,CDT - Sala Interação,CDT1101,643
1,2023.1,LAURA ANGELICA FERREIRA DARNET,35T23,28,30.0,ICC AT 114/18,CDS0004,640
1,2023.1,ALEXANDRE BETINARDI STRAPASSON,35N34,36,40.0,BSA S BT 54/13,CDS0007,640
1,2023.1,CRISTIANE GOMES BARRETO,35N34,36,40.0,BSA S BT 54/13,CDS0007,640
3,2023.1,MAURO GUILHERME MAIDANA CAPPELLARO,36N12,27,29.0,ENM - DT 11/15 - Auditório,CDS0007,640
4,2023.1,ADRILANE BATISTA DE OLIVEIRA,36N12,24,25.0,ENM - DT 11/15 - Auditório,CDS0007,640
1,2023.1,MONICA CELEIDA RABELO NOGUEIRA,35N34,28,40.0,3N34(BSA S B1 47/10) 5N34(BSA S B1 19/10),CDS0008,640
1,2023.1,JESSICA PEREIRA GARCIA,6N34,13,30.0,BSA S BT 26/13,CDS0010,640
1,2023.1,DIEGO PEREIRA LINDOSO,6N34,13,30.0,BSA S BT 26/13,CDS0010,640
1,2023.1,FREDERIC ADELIN GEORGES MERTENS,2T2345,13,25.0,CDS - Sala Araticum,CDS0011,640
2,2023.1,DIEGO PEREIRA LINDOSO,35N34,23,30.0,BSA S B2 34/13,CDS0012,640
2,2023.1,MAURO GUILHERME MAIDANA CAPPELLARO,35N34,23,30.0,BSA S B2 34/13,CDS0012,640
1,2023.1,STEPHANIE CAROLINE NASUTI,35N12,16,25.0,BSA S B2 33/9,CDS0013,640
1,2023.1,DIEGO PEREIRA LINDOSO,35N12,8,25.0,ICC AT 091/8,CDS0015,640
2,2023.1,ALEXANDRE BETINARDI STRAPASSON,3T2345,25,25.0,CDS - Sala Copaíba,CDS0016,640
2,2023.1,IZABEL CRISTINA BRUNO BACELLAR ZANETI,3T2345,25,25.0,CDS - Sala Copaíba,CDS0016,640
1,2023.1,MAURICIO DE CARVALHO AMAZONAS,35N34,24,26.0,BSA S B2 18/9,CDS0019,640
1,2023.1,LAURA ANGELICA FERREIRA DARNET,35T45 (28/03/2023 - 25/07/2023),11,30.0,ICC AT 114/18,CDS0032,640
2,2023.1,FABIANO TONI,3T2345,23,30.0,CDS,CDS0035,640
2,2023.1,GUSTAVO MACEDO DE MELLO BAPTISTA,3T2345,23,30.0,CDS,CDS0035,640
1,2023.1,MARUTSCHKA MARTINI MOESCH,3T2345,26,40.0,CET - Módulo B - Sala 2,CET0001,314
1,2023.1,FAGNO TAVARES DE OLIVEIRA,4M34 (28/03/2023 - 25/07/2023),18,40.0,CET - Módulo C,CET0002,314
1,2023.1,JOAO PAULO FARIA TASSO,6M1234,8,40.0,CET - Módulo B - Sala 2,CET0005,314
1,2023.1,FAGNO TAVARES DE OLIVEIRA,4M12,36,40.0,CET - Módulo C,CET0006,314
1,2023.1,MARUTSCHKA MARTINI MOESCH,4M12,31,40.0,CET - Módulo E,CET0007,314
2,2023.1,ALESSANDRA SANTOS DOS SANTOS,4T2345,29,30.0,CET - Módulo B - Sala 3,CET0012,314
2,2023.1,CAROLINA MENEZES PALHARES,4T2345,29,30.0,CET - Módulo B - Sala 3,CET0012,314
1,2023.1,MARUTSCHKA MARTINI MOESCH,3M1234,32,40.0,CET - Módulo D,CET0013,314
1,2023.1,MARUTSCHKA MARTINI MOESCH,2T2345,15,40.0,CET - Módulo E,CET0014,314
1,2023.1,JOAO PAULO FARIA TASSO,3T2345,22,40.0,CET - Módulo E,CET0022,314
1,2023.1,DONARIA COELHO DUARTE,4T23,27,30.0,CET - Módulo D (sala de aula),CET0032,314
2,2023.1,CAROLINA MENEZES PALHARES,5T23,23,30.0,CET - Módulo B - Sala 3,CET0035,314
1,2023.1,NEUZA DE FARIAS ARAUJO,6M34,25,40.0,CET - Módulo C,CET0036,314
1,2023.1,NEUZA DE FARIAS ARAUJO,6M12,32,40.0,CET - Módulo C,CET0037,314
1,2023.1,THIAGO SEBASTIANO DE MELO,4M1234,22,45.0,CET - Módulo D,CET0038,314
1,2023.1,JOAO PAULO FARIA TASSO,5T2345,24,40.0,CET - Módulo E,CET0039,314
1,2023.1,FAGNO TAVARES DE OLIVEIRA,6M1234,24,40.0,CET - Módulo D,CET0040,314
1,2023.1,ANGELA TEBERGA DE PAULA,3M1234,18,45.0,CET - Módulo E,CET0041,314
1,2023.1,NEUZA DE FARIAS ARAUJO,5T2345,19,40.0,CET - Módulo C,CET0042,314
1,2023.1,ANGELA TEBERGA DE PAULA,2T2345,20,40.0,CET - Módulo B - Sala 2,CET0043,314
1,2023.1,ANA ROSA DOMINGUES DOS SANTOS,6M1234,25,48.0,CET - Módulo E,CET0044,314
1,2023.1,LUIZ CARLOS SPILLER PENA,4T2345,27,40.0,CET - Módulo E,CET0045,314
1,2023.1,THIAGO SEBASTIANO DE MELO,2M34,27,30.0,CET - Módulo C,CET0046,314
1,2023.1,MARUTSCHKA MARTINI MOESCH,4T2345,22,40.0,CET - Módulo B - Sala 2,CET0050,314
1,2023.1,THIAGO SEBASTIANO DE MELO,2M12,19,40.0,CET - Módulo C,CET0051,314
1,2023.1,ANGELA TEBERGA DE PAULA,4M34,24,40.0,CET - Módulo B - Sala 2,CET0052,314
1,2023.1,ANA ROSA DOMINGUES DOS SANTOS,2M1234,22,40.0,CET - Módulo E,CET0053,314
